pair_id,training_dataset,training_relative_path,training_class,training_sha256,evaluation_dataset,evaluation_relative_path,evaluation_class,evaluation_sha256,phash_distance,contact_sheet,human_decision,decision_reason,reviewer,reviewed_at,final_disposition
ndp-01,PlantVillage,raw/color/Apple___healthy/f09b090f-bff1-4fc9-87ad-1b9e05373698___RS_HL 6035.JPG,Apple___healthy,5c4e36a9f45626c8fa25a0a746c5ec44091cd5f39bd6ea81ded4515d583ce275,PlantDoc,train/Tomato leaf late blight/TomatoLateBlightTop.jpg,Tomato leaf late blight,8db3c1eaf91af244d4d19789a44d5f2e986b845c078e308173100ccf5c61aeb2,4,reports/near_duplicate_contact_sheets/contact_sheet_01.png,clearly_different,visually distinct source images; pHash similarity results from coarse single-leaf composition and does not indicate shared source content,human_reviewer_1,2026-08-02T21:10:00+05:00,keep
ndp-02,PlantVillage,raw/color/Apple___Black_rot/888c8b6e-55cb-4492-b489-22f3624f1c39___JR_FrgE.S 8765.JPG,Apple___Black_rot,a67725d704ce032dd707119f33680373d636b351e332d86807569d5de986e7e5,PlantDoc,train/Apple leaf/depositphotos_30057617-Green-leaf-of-apple-tree.jpg,Apple leaf,8f138f42b89fd37fdadf24cb1af94d01360bf9748b4d0cf9a467e9d45aee8a54,6,reports/near_duplicate_contact_sheets/contact_sheet_01.png,clearly_different,visually distinct source images; pHash similarity results from coarse single-leaf composition and does not indicate shared source content,human_reviewer_1,2026-08-02T21:10:00+05:00,keep
ndp-03,PlantVillage,raw/color/Blueberry___healthy/bafd9520-a306-441b-8f0f-8fdd5ff0f3d3___RS_HL 2375.JPG,Blueberry___healthy,dd1b04c740968477dfda90b0409ec9df4c339ff82e8910b31197e1533e6f9647,PlantDoc,test/Apple leaf/apple-leaf-closeup-37636177.jpg,Apple leaf,8d345ef55e8b6b13407264385e8076101c8f3711b908c6c2f8eb32a16ae78864,6,reports/near_duplicate_contact_sheets/contact_sheet_01.png,clearly_different,visually distinct source images; pHash similarity results from coarse single-leaf composition and does not indicate shared source content,human_reviewer_1,2026-08-02T21:10:00+05:00,keep
ndp-04,PlantVillage,raw/color/Cherry_(including_sour)___healthy/01958ee7-f585-4956-90aa-a40dc79102d4___JR_HL 9836.JPG,Cherry_(including_sour)___healthy,c20dcd3167d973dabd2b5febddeb49c307053c3d87cc52cfcb931643366e03d4,PlantDoc,train/Apple leaf/depositphotos_30057617-Green-leaf-of-apple-tree.jpg,Apple leaf,8f138f42b89fd37fdadf24cb1af94d01360bf9748b4d0cf9a467e9d45aee8a54,6,reports/near_duplicate_contact_sheets/contact_sheet_01.png,clearly_different,visually distinct source images; pHash similarity results from coarse single-leaf composition and does not indicate shared source content,human_reviewer_1,2026-08-02T21:10:00+05:00,keep
ndp-05,PlantVillage,raw/color/Cherry_(including_sour)___healthy/6ae3fb47-fad5-4167-b106-782bc5ef68d6___JR_HL 9513.JPG,Cherry_(including_sour)___healthy,720e8df1445c7f78ae582f990835a3f1e1aa086d985c76e7cafa2f190df5f95e,PlantDoc,train/Tomato leaf late blight/TomatoLateBlightTop.jpg,Tomato leaf late blight,8db3c1eaf91af244d4d19789a44d5f2e986b845c078e308173100ccf5c61aeb2,6,reports/near_duplicate_contact_sheets/contact_sheet_02.png,clearly_different,visually distinct source images; pHash similarity results from coarse single-leaf composition and does not indicate shared source content,human_reviewer_1,2026-08-02T21:10:00+05:00,keep
ndp-06,PlantVillage,raw/color/Grape___Black_rot/69b68016-b0a9-437f-b8a2-3cec7b1ced89___FAM_B.Rot 0370.JPG,Grape___Black_rot,6ecbd69c72641c2de4184fe2843d19063e1175200a34edb864dd9ce6986c294b,PlantDoc,train/Apple rust leaf/car-apple9.jpg,Apple rust leaf,363121c669016765221a1160636d3f9c0078157a5fccb1397aa8c855251a9a3e,6,reports/near_duplicate_contact_sheets/contact_sheet_02.png,clearly_different,visually distinct source images; pHash similarity results from coarse single-leaf composition and does not indicate shared source content,human_reviewer_1,2026-08-02T21:10:00+05:00,keep
ndp-07,PlantVillage,raw/color/Orange___Haunglongbing_(Citrus_greening)/81a2842a-0d85-4521-b425-b8ce671553c6___CREC_HLB 5626.JPG,Orange___Haunglongbing_(Citrus_greening),3a0acd68dd15934efff2f5fa36a038b0367581b6984ffbb969554412d7ef9c8e,PlantDoc,train/Apple leaf/depositphotos_30057617-Green-leaf-of-apple-tree.jpg,Apple leaf,8f138f42b89fd37fdadf24cb1af94d01360bf9748b4d0cf9a467e9d45aee8a54,6,reports/near_duplicate_contact_sheets/contact_sheet_02.png,clearly_different,visually distinct source images; pHash similarity results from coarse single-leaf composition and does not indicate shared source content,human_reviewer_1,2026-08-02T21:10:00+05:00,keep
ndp-08,PlantVillage,raw/color/Orange___Haunglongbing_(Citrus_greening)/c064d3a5-c0b6-4cc9-8c4b-bbf19f23cba2___CREC_HLB 5331.JPG,Orange___Haunglongbing_(Citrus_greening),8279a93f533eb92c7faa7cf2e8e24c3ee28af9d37e384b737c0ac8d31cc7c4ec,PlantDoc,train/Apple leaf/depositphotos_30057617-Green-leaf-of-apple-tree.jpg,Apple leaf,8f138f42b89fd37fdadf24cb1af94d01360bf9748b4d0cf9a467e9d45aee8a54,6,reports/near_duplicate_contact_sheets/contact_sheet_02.png,clearly_different,visually distinct source images; pHash similarity results from coarse single-leaf composition and does not indicate shared source content,human_reviewer_1,2026-08-02T21:10:00+05:00,keep
ndp-09,PlantVillage,raw/color/Soybean___healthy/09ae1b30-a83d-40d0-aca4-db6bfcc26bc2___RS_HL 4094.JPG,Soybean___healthy,9a2d32fc9f0c671809a8caa40150dec4881547283f533199ac792b62928da093,PlantDoc,train/Apple leaf/depositphotos_30057617-Green-leaf-of-apple-tree.jpg,Apple leaf,8f138f42b89fd37fdadf24cb1af94d01360bf9748b4d0cf9a467e9d45aee8a54,6,reports/near_duplicate_contact_sheets/contact_sheet_03.png,clearly_different,visually distinct source images; pHash similarity results from coarse single-leaf composition and does not indicate shared source content,human_reviewer_1,2026-08-02T21:10:00+05:00,keep
ndp-10,PlantVillage,raw/color/Soybean___healthy/2f0e30c3-e2fc-4108-bb9a-c0ac42b4bb9a___RS_HL 4551.JPG,Soybean___healthy,41ef2bd6c1e7108eb9225cb75586d7583ecce83a117440bd50f4e32063d27eb0,PlantDoc,train/Apple leaf/green-leaf-apple-tree-isolated-white-background-33032695.jpg,Apple leaf,60cad750de450fc03132efca9546fa18dc0e94c3440e34fe9bfacacbf4966e42,6,reports/near_duplicate_contact_sheets/contact_sheet_03.png,clearly_different,visually distinct source images; pHash similarity results from coarse single-leaf composition and does not indicate shared source content,human_reviewer_1,2026-08-02T21:10:00+05:00,keep
