group_id,display_group_id,member_id,dataset,original_archive_path,active_relative_path,source_split,source_class_label,byte_sha256,decoded_rgb_sha256,byte_size,width,height,mode,source_revision,group_handling_decision,canonical_label_decision,split_handling_decision,remediation_action,effective_split,effective_class_label,effective_record_id,decision_reason,reviewer,reviewed_at
pdup-f7ce4475e7faab5c,G01,G01-m1,PlantDoc,test/Blueberry leaf/blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,test/Blueberry leaf/blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,test,Blueberry leaf,07b9b0a3395d6643e0033f5327c188305479c20a67b9e0081efec85139d63306,838b864a6ecd8bcef3f37360774f1f3dfb4bf105e33b7dcee7ba9ec746704fc0,59840,390,540,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Blueberry leaf,move_to_train,exclude_duplicate,,,,Byte-identical train/test records have the same label. Retain one canonical sample in train and remove its test twin so evaluation cannot credit memorisation.,human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-f7ce4475e7faab5c,G01,G01-m2,PlantDoc,train/Blueberry leaf/blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,train/Blueberry leaf/blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,train,Blueberry leaf,07b9b0a3395d6643e0033f5327c188305479c20a67b9e0081efec85139d63306,838b864a6ecd8bcef3f37360774f1f3dfb4bf105e33b7dcee7ba9ec746704fc0,59840,390,540,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Blueberry leaf,move_to_train,retain_canonical,train,Blueberry leaf,erec-c4a378c93fa9a220,Byte-identical train/test records have the same label. Retain one canonical sample in train and remove its test twin so evaluation cannot credit memorisation.,human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-b521e39920981129,G02,G02-m1,PlantDoc,test/Tomato leaf yellow virus/tylcv-seminar-1-638.jpg,test/Tomato leaf yellow virus/tylcv-seminar-1-638.jpg,test,Tomato leaf yellow virus,3c52144e19e95cc3d4170407eaf729d0981b934615eaa183f7f5aa29d8ef265a,3833455ba9dde5f8b75769c4ff68ec49b38412739185318e70fc41202dca3e0a,69933,638,479,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Tomato leaf yellow virus,move_to_train,exclude_duplicate,,,,Byte-identical train/test records have the same label. Retain one canonical sample in train and remove its test twin so evaluation cannot credit memorisation.,human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-b521e39920981129,G02,G02-m2,PlantDoc,train/Tomato leaf yellow virus/tylcv-seminar-1-638.jpg,train/Tomato leaf yellow virus/tylcv-seminar-1-638.jpg,train,Tomato leaf yellow virus,3c52144e19e95cc3d4170407eaf729d0981b934615eaa183f7f5aa29d8ef265a,3833455ba9dde5f8b75769c4ff68ec49b38412739185318e70fc41202dca3e0a,69933,638,479,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Tomato leaf yellow virus,move_to_train,retain_canonical,train,Tomato leaf yellow virus,erec-457fa2484df095db,Byte-identical train/test records have the same label. Retain one canonical sample in train and remove its test twin so evaluation cannot credit memorisation.,human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-0e389c7e23bd56b9,G03,G03-m1,PlantDoc,test/Potato leaf early blight/backus-056-potato-blight.jpg,test/Potato leaf early blight/backus-056-potato-blight.jpg,test,Potato leaf early blight,64c0f7b5701e815769bad881c0834ffb3b58018233fc3af42c3a1b7968f86973,79e02b28f24cb1dee9cb9deaf4e934bceada9eaf546b081e8b90fc46ddd7156c,1477148,2848,2136,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,exclude_all_records,not_applicable,not_applicable,exclude_group,,,,"Identical pixels carry mutually exclusive potato early- and late-blight labels. The image and available provenance do not support a defensible diagnosis, so exclude both rather than inject label noise.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-0e389c7e23bd56b9,G03,G03-m2,PlantDoc,train/Potato leaf late blight/backus-056-potato-blight.jpg,train/Potato leaf late blight/backus-056-potato-blight.jpg,train,Potato leaf late blight,64c0f7b5701e815769bad881c0834ffb3b58018233fc3af42c3a1b7968f86973,79e02b28f24cb1dee9cb9deaf4e934bceada9eaf546b081e8b90fc46ddd7156c,1477148,2848,2136,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,exclude_all_records,not_applicable,not_applicable,exclude_group,,,,"Identical pixels carry mutually exclusive potato early- and late-blight labels. The image and available provenance do not support a defensible diagnosis, so exclude both rather than inject label noise.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-454040445d1210af,G04,G04-m1,PlantDoc,test/Corn leaf blight/2015070295153021.jpg,test/Corn leaf blight/2015070295153021.jpg,test,Corn leaf blight,6e777d1b6829140e66573f918c0f1681ca4cd2979859c37435c84977153ec223,bb6cddbe3c7246574630162c846df2b91b820a8ca9a1179e20d375e0d92dd8bd,225240,1224,1632,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Corn Gray leaf spot,move_to_train,exclude_duplicate,,,,"The lesions are narrow and largely vein-bounded, consistent with gray leaf spot; the original PlantDoc object-detection annotation also assigns Corn Gray leaf spot. Retain one canonical record in train.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-454040445d1210af,G04,G04-m2,PlantDoc,train/Corn Gray leaf spot/2015070295153021.jpg,train/Corn Gray leaf spot/2015070295153021.jpg,train,Corn Gray leaf spot,6e777d1b6829140e66573f918c0f1681ca4cd2979859c37435c84977153ec223,bb6cddbe3c7246574630162c846df2b91b820a8ca9a1179e20d375e0d92dd8bd,225240,1224,1632,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Corn Gray leaf spot,move_to_train,retain_canonical,train,Corn Gray leaf spot,erec-83aba8d282644b2c,"The lesions are narrow and largely vein-bounded, consistent with gray leaf spot; the original PlantDoc object-detection annotation also assigns Corn Gray leaf spot. Retain one canonical record in train.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-a4b93bd747ef3454,G05,G05-m1,PlantDoc,test/Corn leaf blight/corn-gray-leaf-spot-f4.jpg,test/Corn leaf blight/corn-gray-leaf-spot-f4.jpg,test,Corn leaf blight,9120578a76fd8539da220def6e0609ebb2435decc7a9c34b949e46e86e794c8d,a385b6ed71a3a24cb23c7ca79038058b6f26733c17046c64be7b5af84cecef29,652989,672,832,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Corn Gray leaf spot,move_to_train,exclude_duplicate,,,,"The filename explicitly names gray leaf spot, morphology is compatible, and the original PlantDoc object-detection annotation assigns Corn Gray leaf spot. Retain one canonical record in train.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-a4b93bd747ef3454,G05,G05-m2,PlantDoc,train/Corn Gray leaf spot/corn-gray-leaf-spot-f4.jpg,train/Corn Gray leaf spot/corn-gray-leaf-spot-f4.jpg,train,Corn Gray leaf spot,9120578a76fd8539da220def6e0609ebb2435decc7a9c34b949e46e86e794c8d,a385b6ed71a3a24cb23c7ca79038058b6f26733c17046c64be7b5af84cecef29,652989,672,832,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Corn Gray leaf spot,move_to_train,retain_canonical,train,Corn Gray leaf spot,erec-aa08c1b448e3f5a6,"The filename explicitly names gray leaf spot, morphology is compatible, and the original PlantDoc object-detection annotation assigns Corn Gray leaf spot. Retain one canonical record in train.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-7ec26dad51adee34,G06,G06-m1,PlantDoc,test/Tomato Septoria leaf spot/early-blight-septoria-ls-fig-3.jpg,test/Tomato Septoria leaf spot/early-blight-septoria-ls-fig-3.jpg,test,Tomato Septoria leaf spot,93c989d8551209bf34d4002ee9fae48ddbf6ab66fc3c27466c0473bcc7c0a2b7,0c4bd829bc90e5bc0d69128ebf78553584f7ed296867e284faad28ad365020c2,1178259,1500,1125,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Tomato Septoria leaf spot,move_to_train,exclude_duplicate,,,,Byte-identical train/test records have the same label. Retain one canonical sample in train and remove its test twin so evaluation cannot credit memorisation.,human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-7ec26dad51adee34,G06,G06-m2,PlantDoc,train/Tomato Septoria leaf spot/early-blight-septoria-ls-fig-3.jpg,train/Tomato Septoria leaf spot/early-blight-septoria-ls-fig-3.jpg,train,Tomato Septoria leaf spot,93c989d8551209bf34d4002ee9fae48ddbf6ab66fc3c27466c0473bcc7c0a2b7,0c4bd829bc90e5bc0d69128ebf78553584f7ed296867e284faad28ad365020c2,1178259,1500,1125,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Tomato Septoria leaf spot,move_to_train,retain_canonical,train,Tomato Septoria leaf spot,erec-fb8a05315b0be6d7,Byte-identical train/test records have the same label. Retain one canonical sample in train and remove its test twin so evaluation cannot credit memorisation.,human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-00d12bcd997986d0,G07,G07-m1,PlantDoc,test/Potato leaf late blight/irish-blight-symptoms-on-potato-leaves-atmf8b.jpg,test/Potato leaf late blight/irish-blight-symptoms-on-potato-leaves-atmf8b.jpg,test,Potato leaf late blight,9dd93b4217495fbb725cfdded86d3dc5f98955c9616fff5323be1a00df17be8b,6698fb65e7508618830d0e4518364e198e72e109fa12135d10472af6e9854be1,56066,640,437,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Potato leaf late blight,move_to_train,exclude_duplicate,,,,"The source filename/title describes Irish blight symptoms on potato leaves, supporting potato late blight rather than early blight. Retain one canonical record in train.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-00d12bcd997986d0,G07,G07-m2,PlantDoc,train/Potato leaf early blight/irish-blight-symptoms-on-potato-leaves-atmf8b.jpg,train/Potato leaf early blight/irish-blight-symptoms-on-potato-leaves-atmf8b.jpg,train,Potato leaf early blight,9dd93b4217495fbb725cfdded86d3dc5f98955c9616fff5323be1a00df17be8b,6698fb65e7508618830d0e4518364e198e72e109fa12135d10472af6e9854be1,56066,640,437,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Potato leaf late blight,move_to_train,retain_canonical,train,Potato leaf late blight,erec-5373969d2572bb1d,"The source filename/title describes Irish blight symptoms on potato leaves, supporting potato late blight rather than early blight. Retain one canonical record in train.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-884a18bbd9375029,G08,G08-m1,PlantDoc,test/Potato leaf late blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,test/Potato leaf late blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,test,Potato leaf late blight,a981ee59e5e1dcafd0d225f74369a05969200352c17743318c31987083ab6f4c,2b49ec06043cd087d410e5d32235b75895135385c6c4e6a02210d291f08d6e63,98347,333,500,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Tomato leaf late blight,move_to_train,exclude_duplicate,,,,The exact source identifier 5816740026 resolves to Tomato late blight foliar lesions. Both existing potato labels are wrong; relabel the canonical record as Tomato leaf late blight and keep it in train.,human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-884a18bbd9375029,G08,G08-m2,PlantDoc,train/Potato leaf early blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,train/Potato leaf early blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,train,Potato leaf early blight,a981ee59e5e1dcafd0d225f74369a05969200352c17743318c31987083ab6f4c,2b49ec06043cd087d410e5d32235b75895135385c6c4e6a02210d291f08d6e63,98347,333,500,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Tomato leaf late blight,move_to_train,retain_canonical,train,Tomato leaf late blight,erec-7692837fe06b10af,The exact source identifier 5816740026 resolves to Tomato late blight foliar lesions. Both existing potato labels are wrong; relabel the canonical record as Tomato leaf late blight and keep it in train.,human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-1de023f9a042587b,G09,G09-m1,PlantDoc,test/Potato leaf late blight/1421_0.jpeg?itok=FMtmgePj.jpg,test/Potato leaf late blight/1421_0.jpeg?itok=FMtmgePj.jpg,test,Potato leaf late blight,c53ad8d40c38debfbc0b79a87d0f3649c20b933a65f5b78a6931f59d06aad498,ce2ea9ee7939fd30c74c2c71719255696ec9ff80523d0c90313594d84dd2b1cf,59758,640,480,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Potato leaf early blight,move_to_train,exclude_duplicate,,,,Multiple lesions show the characteristic concentric target-ring pattern of potato early blight. Retain one canonical record in train.,human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-1de023f9a042587b,G09,G09-m2,PlantDoc,train/Potato leaf early blight/1421_0.jpeg?itok=FMtmgePj.jpg,train/Potato leaf early blight/1421_0.jpeg?itok=FMtmgePj.jpg,train,Potato leaf early blight,c53ad8d40c38debfbc0b79a87d0f3649c20b933a65f5b78a6931f59d06aad498,ce2ea9ee7939fd30c74c2c71719255696ec9ff80523d0c90313594d84dd2b1cf,59758,640,480,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Potato leaf early blight,move_to_train,retain_canonical,train,Potato leaf early blight,erec-dab9202bf4fc65ef,Multiple lesions show the characteristic concentric target-ring pattern of potato early blight. Retain one canonical record in train.,human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-e05ca426fe0bf730,G10,G10-m1,PlantDoc,test/Tomato leaf bacterial spot/tomato_V8.jpg,test/Tomato leaf bacterial spot/tomato_V8.jpg,test,Tomato leaf bacterial spot,e23a29c94b58aac28e92f57f95eb6f53e99c874323cb2b90ebd327085721574e,2c6e36b745ce86fb2bb03b2ab1ecf7ba02df95238c285d006ccb8a24f97bb683,14032,350,260,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Tomato leaf bacterial spot,move_to_train,exclude_duplicate,,,,"The original PlantDoc test annotation labels both objects as Tomato leaf bacterial spot, and the visible symptoms are compatible. Retain one canonical record in train.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-e05ca426fe0bf730,G10,G10-m2,PlantDoc,train/Tomato Septoria leaf spot/tomato_V8.jpg,train/Tomato Septoria leaf spot/tomato_V8.jpg,train,Tomato Septoria leaf spot,e23a29c94b58aac28e92f57f95eb6f53e99c874323cb2b90ebd327085721574e,2c6e36b745ce86fb2bb03b2ab1ecf7ba02df95238c285d006ccb8a24f97bb683,14032,350,260,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Tomato leaf bacterial spot,move_to_train,retain_canonical,train,Tomato leaf bacterial spot,erec-80b6c8a97fcda29a,"The original PlantDoc test annotation labels both objects as Tomato leaf bacterial spot, and the visible symptoms are compatible. Retain one canonical record in train.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-37644c61e7e47362,G11,G11-m1,PlantDoc,train/Potato leaf early blight/18028_1.jpg,train/Potato leaf early blight/18028_1.jpg,train,Potato leaf early blight,e5f14a70fc7a687a5846749d5499872c7c3320e81aea1358e481f7100b7ba242,455f28f2b68fc6b43f18c783c662ffca5860ed6109a9ab06d5caf1511ef5e433,216600,832,624,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,exclude_all_records,not_applicable,not_applicable,exclude_group,,,,"Identical training pixels carry contradictory potato early- and late-blight labels. The lesions are not diagnostically decisive and reliable provenance is unavailable, so exclude both to avoid supervised label noise.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-37644c61e7e47362,G11,G11-m2,PlantDoc,train/Potato leaf late blight/24064_1.jpg,train/Potato leaf late blight/24064_1.jpg,train,Potato leaf late blight,e5f14a70fc7a687a5846749d5499872c7c3320e81aea1358e481f7100b7ba242,455f28f2b68fc6b43f18c783c662ffca5860ed6109a9ab06d5caf1511ef5e433,216600,832,624,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,exclude_all_records,not_applicable,not_applicable,exclude_group,,,,"Identical training pixels carry contradictory potato early- and late-blight labels. The lesions are not diagnostically decisive and reliable provenance is unavailable, so exclude both to avoid supervised label noise.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-eeff73e307da9ed1,G12,G12-m1,PlantDoc,test/Corn Gray leaf spot/IMG_42231.jpg,test/Corn Gray leaf spot/IMG_42231.jpg,test,Corn Gray leaf spot,ee3838e2249e671b7b4510b0d3831f30882e2bcbf20c9c8c42ee8f4e1b95fcce,a0747f2b4f42924a64b4d33e7c822dd95b1fffda37fb7164cb1bc4e6ff8a69fa,1577792,3264,2448,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Corn leaf blight,move_to_train,exclude_duplicate,,,,"The image shows a large elongated cigar-shaped lesion, consistent with corn leaf blight; the original PlantDoc train annotation also assigns Corn leaf blight. Retain one canonical record in train.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-eeff73e307da9ed1,G12,G12-m2,PlantDoc,train/Corn leaf blight/IMG_42231.jpg,train/Corn leaf blight/IMG_42231.jpg,train,Corn leaf blight,ee3838e2249e671b7b4510b0d3831f30882e2bcbf20c9c8c42ee8f4e1b95fcce,a0747f2b4f42924a64b4d33e7c822dd95b1fffda37fb7164cb1bc4e6ff8a69fa,1577792,3264,2448,RGB,5467f6012d78d1c446145d5f582da6096f852ae8,keep_one_record,Corn leaf blight,move_to_train,retain_canonical,train,Corn leaf blight,erec-b4d4206b9553ddc9,"The image shows a large elongated cigar-shaped lesion, consistent with corn leaf blight; the original PlantDoc train annotation also assigns Corn leaf blight. Retain one canonical record in train.",human_reviewer_1,2026-08-03T14:28:00+05:00
