dataset,split,class_label,path,phash
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/052609%20Hartman%20Crabapple%20scab%20single%20leaf.JPG.jpg,fd4aa14d352dd226
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/1b321015-6e33-4f18-aade-888f4383fe92.jpeg.jpg,a1cc9e306d636ccd
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/28-500x375.jpg,ed74961ad8c939b0
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/816.jpg,bc3892c26687c76d
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/apple%20scab%20leaf.jpg,84c27b1f3a786569
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/apple%20scabnew.jpg,8b49a4be83d19c97
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/apple-scab-5366820.jpg,fc73ccf1c4e100ec
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/apples_apple-scab_01_zoom.jpg,e33ef382081f20fb
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/apples_apple-scab_02_thm.jpg,973c4ab6ea94ec82
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/apples_apple-scab_10_zoom.jpg,f878e0030f3e0f37
PlantDoc,test,Apple leaf,test/Apple leaf/20180511_090912-14gtw8a-e1526047952754.jpg,daa21fe9c808cceb
PlantDoc,test,Apple leaf,test/Apple leaf/20180511_091133-24l1vhg-e1526047988236.jpg,e798d30825377aaa
PlantDoc,test,Apple leaf,test/Apple leaf/20180511_091252-1gy5xf5-e1526048000596.jpg,f10ef9050dfd16e0
PlantDoc,test,Apple leaf,test/Apple leaf/4120978-single-green-leaf-of-apple-tree.jpg,bfe09097cb1a4c39
PlantDoc,test,Apple leaf,test/Apple leaf/Apple-Leaf-Wallpaper-17.jpg,b4c19a9c68cf65cc
PlantDoc,test,Apple leaf,test/Apple leaf/apple-leaf-14319997.jpg,bd3dc2f08b830ccd
PlantDoc,test,Apple leaf,test/Apple leaf/apple-leaf-9834637.jpg,be36c0d00fcf3436
PlantDoc,test,Apple leaf,test/Apple leaf/apple-leaf-closeup-37636177.jpg,bd61c2968f9a8c99
PlantDoc,test,Apple leaf,test/Apple leaf/apple-leaf-isolated-white-background-56631026.jpg,bcc1d236cb3acc38
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/02.-Rust-2017-207u24s.jpg,db2e35b48cd36825
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/0605_Rust-induced_leafspot.jpg,96407b0565be77b0
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/185161-004-EAF28842.jpg,a30fa272a8faf225
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/2011-011.jpg,96e358be81f8d550
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/20130519cedarapplerust.jpg,aab5e842f40dab8b
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/20130610_110514.jpg,965d77ea10977488
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/20130802_111632.jpg,88044e6f768e27b7
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/4-apple-rust2_19011_matt-bertone.jpg,af66d0998a0a3dcd
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/9343310-small.jpg,ab9f1a0905a7e2d3
PlantDoc,test,Apple rust leaf,test/Apple rust leaf/99e886623c2080c22f6519b0e708c531.jpg,de9338c9919ec1c5
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/10148582-green-leaf-of-pepper.jpg,bacad0b58fb48c31
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/4825902504_5fa80b65b8_z.jpg,c3633d9670d9b1c8
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/GREEN%20BELL%20PLANT%20YELLOW%20LEAF.JPG.jpg,d81b69393216b6ae
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/IMG_1629.JPG?1507122477.jpg,fe58f45c86180f33
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/RnGnC.jpg,e4b536ba2b969485
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/e33155.jpg,acf14412e2319fed
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/pepper_leaf.jpg,989c297067e7e607
PlantDoc,test,Bell_pepper leaf,test/Bell_pepper leaf/why-are-my-pepper-plants-yellow-yellow-pepper-plants-yellow-leaves-green-veins-pepper-plants-yellow-veins.jpg,c1e939b599daa948
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/00.jpg,9bc72168d62b3f06
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/000.jpg,dbdfe2f0c08378c0
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/01.jpg,eeb1b164b16e85a4
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/Bacterial-spot-pepper2.jpg,e65de21dc60a5e0b
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/CMVpepperLeafShock-copy-50QUALITY-1ge8umw.jpg,8e3377c7a3e40b42
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/H5w92.jpg,ec91c7bdb2c4b0c2
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/bacterial_leaf_spot_pepper_l.jpg,b7d37a6c24ca5226
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/pepper-spot.jpg,85a17c1673d570da
PlantDoc,test,Bell_pepper leaf spot,test/Bell_pepper leaf spot/pepper_bacterial-spot_03_zoom.jpg,f713ec1f60d660d0
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/P1200665+Vaccinium+alaskaense+vs+ovalifolium+leaf+and++twig+cr.jpg,f9a193264eb16c93
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/P1200701+Vaccinium+ovalifolium+Oval-leaf+Blueberry+leaf+margin+Heather+Meadows+cr.jpg,938d6ada650af4b1
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,8821f58eaf1ff409
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/blueberrysilverleaf16-1372b.jpg,bee3c112f13e902e
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/leaf-blueberry-15281271.jpg,e93296cd9ac9cb84
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/northern-highbush-blueberry-blue-huckleberry-vaccinium-corymbosum-EHNXRR.jpg,efe9c0974b9234c1
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/stock-photo-blueberry-leaf-closeup-isolated-on-white-306486470.jpg,e5859e5ab08663ad
