collision_group,original_archive_path,collision_safe_relative_path,split,class,sha256,n_bytes,width,height,decoded_pixel_sha256,restored
cg01,train/Apple rust leaf/CAR1.jpg,train/Apple rust leaf/CAR1__ff8e845061e3.jpg,train,Apple rust leaf,ff8e845061e3a305e55ae0b60218008bafa88e392bfb5f36e0e9f58f379526dc,249767,498,841,7a2e23fb247de6e5fe07c5d5730400b0ca43815cffc8e4cd7481c4d093f7f6f5,true
cg01,train/Apple rust leaf/car1.jpg,train/Apple rust leaf/car1__da3a9af451c8.jpg,train,Apple rust leaf,da3a9af451c8222bb3f2e69cadd3891473d13cbcdae01f53bdfb26d5e534acc8,43509,320,320,0e1d202796549fef3e6ad0ed7608f6e0441837c222d314ed3415936ba93dacfe,true
cg02,train/Blueberry leaf/Blueberry-Leaf.jpg,train/Blueberry leaf/Blueberry-Leaf__eb505ea1d76e.jpg,train,Blueberry leaf,eb505ea1d76ea2e29c6c8f07fec7f089c95bcef83a0cbc97f1d894e773f8bbf6,43901,400,380,8c2347e0774ceeea6e03fc375f9b2455ea1734e094648403885fe2633f19ec87,true
cg02,train/Blueberry leaf/blueberry-leaf.jpg,train/Blueberry leaf/blueberry-leaf__a488765c32aa.jpg,train,Blueberry leaf,a488765c32aa6a0b5e971e4086f1985e11451c30f9cd95f5edc28918f5cbf753,1234441,1422,2000,2c8dae031e74d77db0cc98bf681b66415fdc0db712d0a2d59dd5ce5c408cb039,true
cg03,train/Blueberry leaf/Blueberry-leaves.jpg,train/Blueberry leaf/Blueberry-leaves__5ceeed324d9f.jpg,train,Blueberry leaf,5ceeed324d9f583f264174f97230da5fee57d10a82ded23ee6916b77beefbb46,176516,650,400,3d9acc88264935eeb0c3970f5734d59904bc34d9ce47cc38a898cf34e38223d0,true
cg03,train/Blueberry leaf/blueberry-leaves.jpg,train/Blueberry leaf/blueberry-leaves__2e99aae9cb26.jpg,train,Blueberry leaf,2e99aae9cb2602280f7ef9c52bb13913620e6a1e2381d9f7385db7fe4d31b0ba,24227,450,338,b3467bbb65f739c090276b92149cd5c7c44a1bbd0e278302969fcbbb90cec6ab,true
cg04,train/Corn leaf blight/Northern-Corn-Leaf-Blight.jpg,train/Corn leaf blight/Northern-Corn-Leaf-Blight__4fbcb5158227.jpg,train,Corn leaf blight,4fbcb5158227d2e9d4a126dda2aaab736805c545a45f0be7617ca88709394907,14226,332,250,9731573b29cd7b9fa88c620bad8e018caa30ca067ffedb62b48b4cbc54e040b6,true
cg04,train/Corn leaf blight/northern-corn-leaf-blight.jpg,train/Corn leaf blight/northern-corn-leaf-blight__2c2cc7cec2c4.jpg,train,Corn leaf blight,2c2cc7cec2c4cc95a28f7bdd46b7e3adb9a194b528aa95af28f979da6b732dac,59950,750,350,e7dd4f77f672a5c598305db4776667904ca335c2b728c75f230826682a2dfbf3,true
cg05,train/Peach leaf/Peach-Leaf.jpg,train/Peach leaf/Peach-Leaf__3e557ad64269.jpg,train,Peach leaf,3e557ad64269414513144ef37942807877d3b2788b34048f3a2dfa31d31ef32e,156315,420,420,8160c774e8b65d38a973a97ae1c7acae61668d665082f468dd25874cb31d5dbb,true
cg05,train/Peach leaf/peach-leaf.jpg,train/Peach leaf/peach-leaf__0571261a682b.jpg,train,Peach leaf,0571261a682b6174b2f9ee041e4cf9bfbfb5b6f9e6b045c367e05fa900fadf45,148756,2136,1424,2890f63bb215ae898696b254d74df58fb0534e1374761a674372edc9919ce04b,true
cg06,train/Potato leaf early blight/potato-blight-phytophora-infestans-close-up-of-infected-leaf-showing-A60HXN.jpg,train/Potato leaf early blight/potato-blight-phytophora-infestans-close-up-of-infected-leaf-showing-A60HXN__79aeef9fa53b.jpg,train,Potato leaf early blight,79aeef9fa53b2e2ea083e27bb9a5952643ea3424b64be79d85fde27ddc9e4194,241221,1300,956,8cc9b3d63378ba1a56c956d44c8b387a9423b68fc334349c47c09d9933adf5a6,true
cg06,train/Potato leaf early blight/potato-blight-phytophora-infestans-close-up-of-infected-leaf-showing-a60hxn.jpg,train/Potato leaf early blight/potato-blight-phytophora-infestans-close-up-of-infected-leaf-showing-a60hxn__0ea1317f5e20.jpg,train,Potato leaf early blight,0ea1317f5e200ddec3cfadee3b1815620f2a49506c1838a23f69555f5d7d7d1b,113078,640,447,2b706b2f407d7fa7a4543a5198b1e07a9f7614ee744f16581919ede168fd7e3e,true
