dataset,split,class_label,relpath,sha256,width,height,mode,n_bytes,is_corrupt,source_url,acquired_at_utc
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/052609%20Hartman%20Crabapple%20scab%20single%20leaf.JPG.jpg,13cfeac779b23fa433e92498086f19b1768b84cab23bc9d25e5b33cbe7ca17db,496,348,RGB,84481,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/1b321015-6e33-4f18-aade-888f4383fe92.jpeg.jpg,7af1a2678a7114632f0274947888e29794321fc9e5edc25dd78d16d42017d685,768,514,RGB,100303,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/28-500x375.jpg,5fb95aeef21638c09143a6f15c39c65eb7be22e7c752730c648ed7b60c6d50d8,500,375,RGB,25490,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/816.jpg,ffc0df6903deff23117a8517a8365d729b073b272d3e6dfb97d414b1f736ddf5,330,275,RGB,9044,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/apple%20scab%20leaf.jpg,9fc6c998582e99696112bc79e2ce2f20f023641323d2642489b772f43073f3cf,239,398,RGB,74044,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/apple%20scabnew.jpg,6caf2ad458a695a73f9d890934f38628ad47e1fc395e5219ce0ee1caf57242d8,490,392,RGB,286420,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/apple-scab-5366820.jpg,1eaebcb9926515196f0e5499ed932bffe2dd1897e8bad55da41c4100cbc4f1b2,460,373,RGB,80592,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/apples_apple-scab_01_zoom.jpg,b47288fa0e351c4483d62ff1bd6db178e3fba89137407726e6f2890cf7a5d248,900,692,RGB,115924,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/apples_apple-scab_02_thm.jpg,f91a6ba2e60144bd62175891872170b57a3e1bfd642a7816b018b86db76257f7,115,85,RGB,7806,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
PlantDoc,test,Apple Scab Leaf,test/Apple Scab Leaf/apples_apple-scab_10_zoom.jpg,0b32e3e7a5a1b37b7f9a18721cb2674260f6ac3246c690879d82345c9c576f76,900,675,RGB,701358,False,https://github.com/pratikkayal/PlantDoc-Dataset,2026-08-02T18:02:14+00:00
