source_revision,original_upstream_path,materialized_relative_path,source_sha256,materialized_sha256,file_size,width,height,mode,split,class,collision_group,materialization_status,notes
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple Scab Leaf/052609%20Hartman%20Crabapple%20scab%20single%20leaf.JPG.jpg,data/raw/plantdoc/test/Apple Scab Leaf/052609%20Hartman%20Crabapple%20scab%20single%20leaf.JPG.jpg,13cfeac779b23fa433e92498086f19b1768b84cab23bc9d25e5b33cbe7ca17db,13cfeac779b23fa433e92498086f19b1768b84cab23bc9d25e5b33cbe7ca17db,84481,496,348,RGB,test,Apple Scab Leaf,,materialized,
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple Scab Leaf/1b321015-6e33-4f18-aade-888f4383fe92.jpeg.jpg,data/raw/plantdoc/test/Apple Scab Leaf/1b321015-6e33-4f18-aade-888f4383fe92.jpeg.jpg,7af1a2678a7114632f0274947888e29794321fc9e5edc25dd78d16d42017d685,7af1a2678a7114632f0274947888e29794321fc9e5edc25dd78d16d42017d685,100303,768,514,RGB,test,Apple Scab Leaf,,materialized,
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple Scab Leaf/28-500x375.jpg,data/raw/plantdoc/test/Apple Scab Leaf/28-500x375.jpg,5fb95aeef21638c09143a6f15c39c65eb7be22e7c752730c648ed7b60c6d50d8,5fb95aeef21638c09143a6f15c39c65eb7be22e7c752730c648ed7b60c6d50d8,25490,500,375,RGB,test,Apple Scab Leaf,,materialized,
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple Scab Leaf/816.jpg,data/raw/plantdoc/test/Apple Scab Leaf/816.jpg,ffc0df6903deff23117a8517a8365d729b073b272d3e6dfb97d414b1f736ddf5,ffc0df6903deff23117a8517a8365d729b073b272d3e6dfb97d414b1f736ddf5,9044,330,275,RGB,test,Apple Scab Leaf,,materialized,
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple Scab Leaf/apple%20scab%20leaf.jpg,data/raw/plantdoc/test/Apple Scab Leaf/apple%20scab%20leaf.jpg,9fc6c998582e99696112bc79e2ce2f20f023641323d2642489b772f43073f3cf,9fc6c998582e99696112bc79e2ce2f20f023641323d2642489b772f43073f3cf,74044,239,398,RGB,test,Apple Scab Leaf,,materialized,
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple Scab Leaf/apple%20scabnew.jpg,data/raw/plantdoc/test/Apple Scab Leaf/apple%20scabnew.jpg,6caf2ad458a695a73f9d890934f38628ad47e1fc395e5219ce0ee1caf57242d8,6caf2ad458a695a73f9d890934f38628ad47e1fc395e5219ce0ee1caf57242d8,286420,490,392,RGB,test,Apple Scab Leaf,,materialized,
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple Scab Leaf/apple-scab-5366820.jpg,data/raw/plantdoc/test/Apple Scab Leaf/apple-scab-5366820.jpg,1eaebcb9926515196f0e5499ed932bffe2dd1897e8bad55da41c4100cbc4f1b2,1eaebcb9926515196f0e5499ed932bffe2dd1897e8bad55da41c4100cbc4f1b2,80592,460,373,RGB,test,Apple Scab Leaf,,materialized,
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple Scab Leaf/apples_apple-scab_01_zoom.jpg,data/raw/plantdoc/test/Apple Scab Leaf/apples_apple-scab_01_zoom.jpg,b47288fa0e351c4483d62ff1bd6db178e3fba89137407726e6f2890cf7a5d248,b47288fa0e351c4483d62ff1bd6db178e3fba89137407726e6f2890cf7a5d248,115924,900,692,RGB,test,Apple Scab Leaf,,materialized,
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple Scab Leaf/apples_apple-scab_02_thm.jpg,data/raw/plantdoc/test/Apple Scab Leaf/apples_apple-scab_02_thm.jpg,f91a6ba2e60144bd62175891872170b57a3e1bfd642a7816b018b86db76257f7,f91a6ba2e60144bd62175891872170b57a3e1bfd642a7816b018b86db76257f7,7806,115,85,RGB,test,Apple Scab Leaf,,materialized,
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple Scab Leaf/apples_apple-scab_10_zoom.jpg,data/raw/plantdoc/test/Apple Scab Leaf/apples_apple-scab_10_zoom.jpg,0b32e3e7a5a1b37b7f9a18721cb2674260f6ac3246c690879d82345c9c576f76,0b32e3e7a5a1b37b7f9a18721cb2674260f6ac3246c690879d82345c9c576f76,701358,900,675,RGB,test,Apple Scab Leaf,,materialized,
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple leaf/20180511_090912-14gtw8a-e1526047952754.jpg,data/raw/plantdoc/test/Apple leaf/20180511_090912-14gtw8a-e1526047952754.jpg,93eaedfb1c29ec24e347500fa9e1e5556ba94af539254caac79c8b471d11b8df,93eaedfb1c29ec24e347500fa9e1e5556ba94af539254caac79c8b471d11b8df,1872287,2988,5312,RGB,test,Apple leaf,,materialized,
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple leaf/20180511_091133-24l1vhg-e1526047988236.jpg,data/raw/plantdoc/test/Apple leaf/20180511_091133-24l1vhg-e1526047988236.jpg,646de55f7314f6994e453a8b5306fdf63e7b8f66a28b29fa9274be3b4d763883,646de55f7314f6994e453a8b5306fdf63e7b8f66a28b29fa9274be3b4d763883,1722834,2988,5312,RGB,test,Apple leaf,,materialized,
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple leaf/20180511_091252-1gy5xf5-e1526048000596.jpg,data/raw/plantdoc/test/Apple leaf/20180511_091252-1gy5xf5-e1526048000596.jpg,aa297cdf285ef4fd70ef7561b0f80f212d169a075ab01e6ea15a39b49788d4bb,aa297cdf285ef4fd70ef7561b0f80f212d169a075ab01e6ea15a39b49788d4bb,1813672,2988,5312,RGB,test,Apple leaf,,materialized,
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple leaf/4120978-single-green-leaf-of-apple-tree.jpg,data/raw/plantdoc/test/Apple leaf/4120978-single-green-leaf-of-apple-tree.jpg,86ae7cf7e63818282f1e6c217a50ddd0bc2399c677d29268c5603bc0869f8192,86ae7cf7e63818282f1e6c217a50ddd0bc2399c677d29268c5603bc0869f8192,74215,800,594,RGB,test,Apple leaf,,materialized,
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple leaf/Apple-Leaf-Wallpaper-17.jpg,data/raw/plantdoc/test/Apple leaf/Apple-Leaf-Wallpaper-17.jpg,632220da09aa65fcd78c805f778511125c99639b3894170f4d9c8a94f7f32ddb,632220da09aa65fcd78c805f778511125c99639b3894170f4d9c8a94f7f32ddb,2008264,3840,2160,RGB,test,Apple leaf,,materialized,
5467f6012d78d1c446145d5f582da6096f852ae8,test/Apple leaf/apple-leaf-14319997.jpg,data/raw/plantdoc/test/Apple leaf/apple-leaf-14319997.jpg,ee31497d152703df4f9581a32796cc272181cc0b2bd7be22d5e10ee0f40cac9d,ee31497d152703df4f9581a32796cc272181cc0b2bd7be22d5e10ee0f40cac9d,173644,1300,1174,RGB,test,Apple leaf,,materialized,
