dataset,dataset_class,canonical_crop,canonical_disease,pathogen_name,pathogen_type,action_class,action_summary,source_name,source_url,source_identifier,evidence_summary,evidence_checked_at,mapping_confidence,review_status,review_notes,reviewer,reviewed_at,policy_reference,review_source,review_source_row
PlantDoc,Apple leaf,apple,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00,policy:healthy-monitor-v1,data/mapping/action_mapping_review.csv,20
PlantDoc,Bell_pepper leaf,pepper,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00,policy:healthy-monitor-v1,data/mapping/action_mapping_review.csv,21
PlantDoc,Blueberry leaf,blueberry,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00,policy:healthy-monitor-v1,data/mapping/action_mapping_review.csv,22
PlantDoc,Cherry leaf,cherry,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00,policy:healthy-monitor-v1,data/mapping/action_mapping_review.csv,23
PlantDoc,Peach leaf,peach,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00,policy:healthy-monitor-v1,data/mapping/action_mapping_review.csv,24
PlantDoc,Raspberry leaf,raspberry,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00,policy:healthy-monitor-v1,data/mapping/action_mapping_review.csv,25
PlantDoc,Soyabean leaf,soybean,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00,policy:healthy-monitor-v1,data/mapping/action_mapping_review.csv,26
PlantDoc,Strawberry leaf,strawberry,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00,policy:healthy-monitor-v1,data/mapping/action_mapping_review.csv,27
PlantDoc,Tomato leaf,tomato,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00,policy:healthy-monitor-v1,data/mapping/action_mapping_review.csv,28
PlantDoc,grape leaf,grape,healthy,,,monitor,Healthy tissue — no intervention indicated.,"(definitional: healthy class, no pathogen)",,policy:healthy-monitor-v1,No disease pathogen present; monitor only. A reviewer may attach a general IPM monitoring citation.,2026-07-28,high,approved,Approved under policy:healthy-monitor-v1 (reports/HEALTHY_CLASS_ACTION_POLICY.md): healthy is a negative diagnosis class with no pathogen; pathogen-specific evidence is exempted and must not be fabricated. healthy -> monitor is definitional. Reviewed by human_reviewer_1.,human_reviewer_1,2026-08-02T21:10:00+05:00,policy:healthy-monitor-v1,data/mapping/action_mapping_review.csv,29
