dataset_class,n_images,n_train,n_test
Apple___Apple_scab,630,503,127
Apple___Black_rot,621,475,146
Apple___Cedar_apple_rust,275,223,52
Apple___healthy,1645,1359,286
Blueberry___healthy,1502,1178,324
Cherry_(including_sour)___Powdery_mildew,1052,833,219
Cherry_(including_sour)___healthy,854,731,123
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,513,406,107
Corn_(maize)___Common_rust_,1192,975,217
Corn_(maize)___Northern_Leaf_Blight,985,765,220
Corn_(maize)___healthy,1162,912,250
Grape___Black_rot,1180,1012,168
Grape___Esca_(Black_Measles),1383,1099,284
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1076,872,204
Grape___healthy,423,323,100
Orange___Haunglongbing_(Citrus_greening),5507,4527,980
Peach___Bacterial_spot,2297,1755,542
Peach___healthy,360,289,71
"Pepper,_bell___Bacterial_spot",997,831,166
"Pepper,_bell___healthy",1478,1195,283
Potato___Early_blight,1000,836,164
Potato___Late_blight,1000,788,212
Potato___healthy,152,120,32
Raspberry___healthy,371,209,162
Soybean___healthy,5090,4117,973
Squash___Powdery_mildew,1835,1457,378
Strawberry___Leaf_scorch,1109,909,200
Strawberry___healthy,456,376,80
Tomato___Bacterial_spot,2127,1691,436
Tomato___Early_blight,1000,785,215
Tomato___Late_blight,1909,1534,375
Tomato___Leaf_Mold,952,780,172
Tomato___Septoria_leaf_spot,1771,1434,337
Tomato___Spider_mites Two-spotted_spider_mite,1676,1356,320
Tomato___Target_Spot,1404,1116,288
Tomato___Tomato_Yellow_Leaf_Curl_Virus,5357,4257,1100
Tomato___Tomato_mosaic_virus,373,307,66
Tomato___healthy,1591,1261,330
