Model,Dataset,Seed,N,Accuracy,Macro-F1,Weighted-F1,Balanced Acc.,Macro Prec.,Macro Rec.
ResNet-50,PlantVillage,42,10709,0.9925296479596601,0.9899461517027316,0.992538192671871,0.9897913170788563,0.9903292916904751,0.9897913170788563
ResNet-50,PlantVillage,1337,10709,0.9941170977682323,0.992546774556126,0.9941159404199809,0.9915097367473574,0.9937915665755984,0.9915097367473574
ResNet-50,PlantVillage,2026,10709,0.9967317209823513,0.9957078233805593,0.9967334778509923,0.9955322042208122,0.9959340290660307,0.9955322042208122
EfficientNet-B0,PlantVillage,42,10709,0.9968251003828555,0.9955971771751301,0.9968267366650024,0.9954151166412369,0.9957985198482573,0.9954151166412369
EfficientNet-B0,PlantVillage,1337,10709,0.9958913063778131,0.9944305638858244,0.9958807700089217,0.9937627187141043,0.9951585378186486,0.9937627187141043
EfficientNet-B0,PlantVillage,2026,10709,0.9963582033803343,0.9950769499685438,0.9963602535169178,0.9944654147320018,0.9957422956765922,0.9944654147320018
MobileNetV3-Small,PlantVillage,42,10709,0.9949575123727705,0.9927489831012454,0.9949537056869278,0.9917682182984301,0.9938676595342444,0.9917682182984301
MobileNetV3-Small,PlantVillage,1337,10709,0.9950508917732748,0.9930553846313216,0.9950493986701522,0.9916839172212243,0.9946276721499409,0.9916839172212243
MobileNetV3-Small,PlantVillage,2026,10709,0.9943038565692408,0.9922971527296763,0.9942953359323632,0.9912094402034511,0.9934968239682108,0.9912094402034511
ResNet-50,PlantDoc Core,42,225,0.6933333333333334,0.6993529318690475,0.7156790027728512,0.6812610229276896,0.758467561245339,0.6812610229276896
ResNet-50,PlantDoc Core,1337,225,0.68,0.7093777733616354,0.7202708718554278,0.6742063492063493,0.7830212996879664,0.6742063492063493
ResNet-50,PlantDoc Core,2026,225,0.6177777777777778,0.6380626948552197,0.6477229558305074,0.6099647266313931,0.7200740617407284,0.6099647266313931
EfficientNet-B0,PlantDoc Core,42,225,0.68,0.6926549383549727,0.7107733776753385,0.6666372721928278,0.7518024156913045,0.6666372721928278
EfficientNet-B0,PlantDoc Core,1337,225,0.6577777777777778,0.6662746047596707,0.6821401671735947,0.6499412110523222,0.7414555609000053,0.6499412110523222
EfficientNet-B0,PlantDoc Core,2026,225,0.6577777777777778,0.6716159760459876,0.6831757687509741,0.6541446208112875,0.7357029801474246,0.6541446208112875
MobileNetV3-Small,PlantDoc Core,42,225,0.5555555555555556,0.5840575732811117,0.5887368731901419,0.5637272192827749,0.6459903265458821,0.5637272192827749
MobileNetV3-Small,PlantDoc Core,1337,225,0.56,0.5946041545886748,0.5973696267039921,0.5671075837742504,0.6717225161669605,0.5671075837742504
MobileNetV3-Small,PlantDoc Core,2026,225,0.5644444444444444,0.5840486127349919,0.5946679084630806,0.5610964138741917,0.651477123699346,0.5610964138741917
