Model,Dataset,Seed,Params (M),Epochs,Train time (min),s / epoch,Latency b1 (ms),Throughput (img/s),Peak mem (MB)
ResNet-50,PlantVillage,42,23.59,11,120.78,658.8051905529996,8.427,219.85,9461.8
ResNet-50,PlantVillage,1337,23.59,10,126.64,759.8673297459027,8.908,209.88,9493.8
EfficientNet-B0,PlantVillage,42,4.06,14,132.11,566.1897904940706,9.307,275.0,9237.6
EfficientNet-B0,PlantVillage,1337,4.06,11,109.9,599.479563511363,9.014,274.87,9249.6
MobileNetV3-Small,PlantVillage,42,1.56,15,33.51,134.0394281333332,6.648,1275.82,2144.7
MobileNetV3-Small,PlantVillage,1337,1.56,15,35.32,141.2939871027988,6.545,1313.01,2160.7
ResNet-50,PlantDoc Core,42,23.57,10,12.12,72.71101004999946,8.437,216.14,12531.8
ResNet-50,PlantDoc Core,1337,23.57,13,12.98,59.90382502884425,8.821,208.55,11507.8
EfficientNet-B0,PlantDoc Core,42,4.04,9,8.43,56.19873342122365,9.584,274.86,11437.6
EfficientNet-B0,PlantDoc Core,1337,4.04,9,11.83,78.88035098144448,9.926,41.3,12025.6
MobileNetV3-Small,PlantDoc Core,42,1.55,11,2.33,12.724336272729984,6.55,1268.35,2152.7
MobileNetV3-Small,PlantDoc Core,1337,1.55,15,3.07,12.292559444399862,6.159,1273.57,2144.7
