Model,Dataset,Setting,NLL,Brier,ECE,MCE,AURC,T
ResNet-50,PlantVillage,in-domain,0.11575548340462842,0.019786141779075325,0.09033894476396867,0.29579719478565714,0.000531314549087614,1.0
ResNet-50,PlantVillage,in-domain (T-scaled),0.030431239724372686,0.011206039102920137,0.009364644452115638,0.39121234291020474,0.0003596346610430639,0.7086193474597997
ResNet-50,PlantVillage,cross-domain,2.967714400628217,0.9991051911869373,0.3038295705165253,0.49239533355270426,0.6284431940416829,1.0
ResNet-50,PlantVillage,cross-domain (T-scaled),3.6646002428596987,1.1098187454723503,0.4305211038901583,0.6487634287093583,0.6275600685355115,0.7086193474597997
EfficientNet-B0,PlantVillage,in-domain,0.11455981698318544,0.015018050066189507,0.0984991942531152,0.4481435296773033,0.0009628086119042781,1.0
EfficientNet-B0,PlantVillage,in-domain (T-scaled),0.021293468475691992,0.005136763718001434,0.009289571125311659,0.5665888296917213,0.0008518028341291687,0.7030375975663546
EfficientNet-B0,PlantVillage,cross-domain,2.8580214067920933,0.9309051540181015,0.2390179620866664,0.41163969267778117,0.5878729072066806,1.0
EfficientNet-B0,PlantVillage,cross-domain (T-scaled),3.433696671925871,1.0302997209144233,0.3777616533188887,0.5603830807007775,0.5856781369389333,0.7030375975663546
MobileNetV3-Small,PlantVillage,in-domain,0.1176633793984037,0.018289065955405432,0.09620335333552109,0.7360111263110467,0.00020688683445626896,1.0
MobileNetV3-Small,PlantVillage,in-domain (T-scaled),0.02569604625543227,0.008098464896831416,0.008867990836702852,0.35452683716608613,0.00017126416475451411,0.6987792461557466
MobileNetV3-Small,PlantVillage,cross-domain,2.760800884159105,0.9278944965868299,0.159991994465811,0.46319411409630773,0.6606348094079217,1.0
MobileNetV3-Small,PlantVillage,cross-domain (T-scaled),3.1189939649286647,1.0168918546539572,0.30111007969623704,0.5250963093829416,0.6603846716842873,0.6987792461557466
ResNet-50,PlantDoc Core,in-domain,1.2000598229582518,0.46853263832140435,0.10709931046958972,0.31827929498341173,0.16779836399368855,1.0
ResNet-50,PlantDoc Core,in-domain (T-scaled),1.1822276819571214,0.4582201513592021,0.06178636995738468,0.18239841880362406,0.16936680013176375,0.8350353980155361
EfficientNet-B0,PlantDoc Core,in-domain,1.1927785275620104,0.48380444130105255,0.15541665065706173,0.8823087351403441,0.1801988931627435,1.0
EfficientNet-B0,PlantDoc Core,in-domain (T-scaled),1.129910932112149,0.45820685008718265,0.06425517875838871,0.3283744017981927,0.17711038773070253,0.7283803323527327
MobileNetV3-Small,PlantDoc Core,in-domain,1.5443648674204087,0.6098923715188701,0.1488359872224764,0.3192463917468264,0.2374268453339925,1.0
MobileNetV3-Small,PlantDoc Core,in-domain (T-scaled),1.4940093947491053,0.5946483192008224,0.08766109962602527,0.2422218080916192,0.23806346049990212,0.7951449506191476
