Model,Dataset,Setting,Seed,NLL,Brier,ECE,MCE,AURC,T
ResNet-50,PlantVillage,in-domain,42,0.11575548340462842,0.019786141779075325,0.09033894476396867,0.29579719478565714,0.000531314549087614,1.0
ResNet-50,PlantVillage,in-domain,1337,0.13756135182390733,0.023615829707450596,0.11156437275203779,0.3391581477018789,0.0005726874525006195,1.0
ResNet-50,PlantVillage,in-domain (T-scaled),42,0.030431239724372686,0.011206039102920137,0.009364644452115638,0.39121234291020474,0.0003596346610430639,0.7086193474597997
ResNet-50,PlantVillage,in-domain (T-scaled),1337,0.031009653324179452,0.01006166548866489,0.010148314811318877,0.21242497367527968,0.0005026183765048803,0.6941764692058189
ResNet-50,PlantVillage,cross-domain,42,2.967714400628217,0.9991051911869373,0.3038295705165253,0.49239533355270426,0.6284431940416829,1.0
ResNet-50,PlantVillage,cross-domain,1337,3.035892749981191,1.025089368861433,0.3145583829984854,0.5190389526236022,0.6752227027561724,1.0
ResNet-50,PlantVillage,cross-domain (T-scaled),42,3.6646002428596987,1.1098187454723503,0.4305211038901583,0.6487634287093583,0.6275600685355115,0.7086193474597997
ResNet-50,PlantVillage,cross-domain (T-scaled),1337,3.767984517568156,1.1581928488573008,0.4635603732420752,0.6579756127690133,0.6752551005573054,0.6941764692058189
EfficientNet-B0,PlantVillage,in-domain,42,0.11455981698318544,0.015018050066189507,0.0984991942531152,0.4481435296773033,0.0009628086119042781,1.0
EfficientNet-B0,PlantVillage,in-domain,1337,0.12808635167625018,0.018604667498360313,0.10947020061776302,0.6405683399899945,0.0010521327120203905,1.0
EfficientNet-B0,PlantVillage,in-domain (T-scaled),42,0.021293468475691992,0.005136763718001434,0.009289571125311659,0.5665888296917213,0.0008518028341291687,0.7030375975663546
EfficientNet-B0,PlantVillage,in-domain (T-scaled),1337,0.023002703498706478,0.006247468794645976,0.010946499815729857,0.6309418614000933,0.0008682823857477777,0.6960044846556653
EfficientNet-B0,PlantVillage,cross-domain,42,2.8580214067920933,0.9309051540181015,0.2390179620866664,0.41163969267778117,0.5878729072066806,1.0
EfficientNet-B0,PlantVillage,cross-domain,1337,2.8724974239243597,0.9706139063215864,0.25348715869548744,0.5133210354126688,0.6438825637701445,1.0
EfficientNet-B0,PlantVillage,cross-domain (T-scaled),42,3.433696671925871,1.0302997209144233,0.3777616533188887,0.5603830807007775,0.5856781369389333,0.7030375975663546
EfficientNet-B0,PlantVillage,cross-domain (T-scaled),1337,3.4642350343111414,1.0823185287471415,0.39780668358876337,0.6024786462854441,0.6447523777339562,0.6960044846556653
MobileNetV3-Small,PlantVillage,in-domain,42,0.1176633793984037,0.018289065955405432,0.09620335333552109,0.7360111263110467,0.00020688683445626896,1.0
MobileNetV3-Small,PlantVillage,in-domain,1337,0.12382721759557218,0.020077929157424495,0.10128047534630208,0.5143308820156275,0.000282507062803055,1.0
MobileNetV3-Small,PlantVillage,in-domain (T-scaled),42,0.02569604625543227,0.008098464896831416,0.008867990836702852,0.35452683716608613,0.00017126416475451411,0.6987792461557466
MobileNetV3-Small,PlantVillage,in-domain (T-scaled),1337,0.02807392118863219,0.008562688448450134,0.009465968159370385,0.3557815809174768,0.00023935369441026747,0.7015319160607614
MobileNetV3-Small,PlantVillage,cross-domain,42,2.760800884159105,0.9278944965868299,0.159991994465811,0.46319411409630773,0.6606348094079217,1.0
MobileNetV3-Small,PlantVillage,cross-domain,1337,2.7924486209063573,0.9238121423489614,0.13560770323093707,0.44680045287993464,0.6832282668988575,1.0
MobileNetV3-Small,PlantVillage,cross-domain (T-scaled),42,3.1189939649286647,1.0168918546539572,0.30111007969623704,0.5250963093829416,0.6603846716842873,0.6987792461557466
MobileNetV3-Small,PlantVillage,cross-domain (T-scaled),1337,3.084440533561527,1.0066566766395724,0.27897481241612254,0.5709687019340749,0.6826520839883831,0.7015319160607614
ResNet-50,PlantDoc Core,in-domain,42,1.2000598229582518,0.46853263832140435,0.10709931046958972,0.31827929498341173,0.16779836399368855,1.0
ResNet-50,PlantDoc Core,in-domain,1337,1.1942406285009464,0.46546592226003985,0.11726611279587097,0.20890512612386447,0.14421052572051293,1.0
ResNet-50,PlantDoc Core,in-domain (T-scaled),42,1.1822276819571214,0.4582201513592021,0.06178636995738468,0.18239841880362406,0.16936680013176375,0.8350353980155361
ResNet-50,PlantDoc Core,in-domain (T-scaled),1337,1.1785892294338198,0.46000917542814995,0.08845516214200592,0.24535048646574484,0.14494452351617818,0.924180329650787
EfficientNet-B0,PlantDoc Core,in-domain,42,1.1927785275620104,0.48380444130105255,0.15541665065706173,0.8823087351403441,0.1801988931627435,1.0
EfficientNet-B0,PlantDoc Core,in-domain,1337,1.1884482836511738,0.4805504431695128,0.11988189069875849,0.24290707550490664,0.15127671457121203,1.0
EfficientNet-B0,PlantDoc Core,in-domain (T-scaled),42,1.129910932112149,0.45820685008718265,0.06425517875838871,0.3283744017981927,0.17711038773070253,0.7283803323527327
EfficientNet-B0,PlantDoc Core,in-domain (T-scaled),1337,1.127973858175399,0.46136060026386044,0.04856062873054881,0.17536249525732703,0.15172766105520263,0.8110768852265279
MobileNetV3-Small,PlantDoc Core,in-domain,42,1.5443648674204087,0.6098923715188701,0.1488359872224764,0.3192463917468264,0.2374268453339925,1.0
MobileNetV3-Small,PlantDoc Core,in-domain,1337,1.5259264596268844,0.6012318244436226,0.13447353005290089,0.27983746750144767,0.2470760549070692,1.0
MobileNetV3-Small,PlantDoc Core,in-domain (T-scaled),42,1.4940093947491053,0.5946483192008224,0.08766109962602527,0.2422218080916192,0.23806346049990212,0.7951449506191476
