group_id,display_group_id,member_id,dataset,original_archive_path,active_relative_path,split,class_label,byte_sha256,decoded_rgb_sha256,byte_size,width,height,mode,source_revision
pdup-f7ce4475e7faab5c,G01,G01-m1,PlantDoc,test/Blueberry leaf/blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,test/Blueberry leaf/blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,test,Blueberry leaf,07b9b0a3395d6643e0033f5327c188305479c20a67b9e0081efec85139d63306,838b864a6ecd8bcef3f37360774f1f3dfb4bf105e33b7dcee7ba9ec746704fc0,59840,390,540,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-f7ce4475e7faab5c,G01,G01-m2,PlantDoc,train/Blueberry leaf/blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,train/Blueberry leaf/blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,train,Blueberry leaf,07b9b0a3395d6643e0033f5327c188305479c20a67b9e0081efec85139d63306,838b864a6ecd8bcef3f37360774f1f3dfb4bf105e33b7dcee7ba9ec746704fc0,59840,390,540,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-b521e39920981129,G02,G02-m1,PlantDoc,test/Tomato leaf yellow virus/tylcv-seminar-1-638.jpg,test/Tomato leaf yellow virus/tylcv-seminar-1-638.jpg,test,Tomato leaf yellow virus,3c52144e19e95cc3d4170407eaf729d0981b934615eaa183f7f5aa29d8ef265a,3833455ba9dde5f8b75769c4ff68ec49b38412739185318e70fc41202dca3e0a,69933,638,479,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-b521e39920981129,G02,G02-m2,PlantDoc,train/Tomato leaf yellow virus/tylcv-seminar-1-638.jpg,train/Tomato leaf yellow virus/tylcv-seminar-1-638.jpg,train,Tomato leaf yellow virus,3c52144e19e95cc3d4170407eaf729d0981b934615eaa183f7f5aa29d8ef265a,3833455ba9dde5f8b75769c4ff68ec49b38412739185318e70fc41202dca3e0a,69933,638,479,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-0e389c7e23bd56b9,G03,G03-m1,PlantDoc,test/Potato leaf early blight/backus-056-potato-blight.jpg,test/Potato leaf early blight/backus-056-potato-blight.jpg,test,Potato leaf early blight,64c0f7b5701e815769bad881c0834ffb3b58018233fc3af42c3a1b7968f86973,79e02b28f24cb1dee9cb9deaf4e934bceada9eaf546b081e8b90fc46ddd7156c,1477148,2848,2136,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-0e389c7e23bd56b9,G03,G03-m2,PlantDoc,train/Potato leaf late blight/backus-056-potato-blight.jpg,train/Potato leaf late blight/backus-056-potato-blight.jpg,train,Potato leaf late blight,64c0f7b5701e815769bad881c0834ffb3b58018233fc3af42c3a1b7968f86973,79e02b28f24cb1dee9cb9deaf4e934bceada9eaf546b081e8b90fc46ddd7156c,1477148,2848,2136,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-454040445d1210af,G04,G04-m1,PlantDoc,test/Corn leaf blight/2015070295153021.jpg,test/Corn leaf blight/2015070295153021.jpg,test,Corn leaf blight,6e777d1b6829140e66573f918c0f1681ca4cd2979859c37435c84977153ec223,bb6cddbe3c7246574630162c846df2b91b820a8ca9a1179e20d375e0d92dd8bd,225240,1224,1632,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-454040445d1210af,G04,G04-m2,PlantDoc,train/Corn Gray leaf spot/2015070295153021.jpg,train/Corn Gray leaf spot/2015070295153021.jpg,train,Corn Gray leaf spot,6e777d1b6829140e66573f918c0f1681ca4cd2979859c37435c84977153ec223,bb6cddbe3c7246574630162c846df2b91b820a8ca9a1179e20d375e0d92dd8bd,225240,1224,1632,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-a4b93bd747ef3454,G05,G05-m1,PlantDoc,test/Corn leaf blight/corn-gray-leaf-spot-f4.jpg,test/Corn leaf blight/corn-gray-leaf-spot-f4.jpg,test,Corn leaf blight,9120578a76fd8539da220def6e0609ebb2435decc7a9c34b949e46e86e794c8d,a385b6ed71a3a24cb23c7ca79038058b6f26733c17046c64be7b5af84cecef29,652989,672,832,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
pdup-a4b93bd747ef3454,G05,G05-m2,PlantDoc,train/Corn Gray leaf spot/corn-gray-leaf-spot-f4.jpg,train/Corn Gray leaf spot/corn-gray-leaf-spot-f4.jpg,train,Corn Gray leaf spot,9120578a76fd8539da220def6e0609ebb2435decc7a9c34b949e46e86e794c8d,a385b6ed71a3a24cb23c7ca79038058b6f26733c17046c64be7b5af84cecef29,652989,672,832,RGB,5467f6012d78d1c446145d5f582da6096f852ae8
