dataset_a,split_a,class_a,path_a,dataset_b,split_b,class_b,path_b,distance,kind
PlantDoc,test,Blueberry leaf,test/Blueberry leaf/blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,PlantDoc,train,Blueberry leaf,train/Blueberry leaf/blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,0,exact
PlantDoc,test,Corn Gray leaf spot,test/Corn Gray leaf spot/IMG_42231.jpg,PlantDoc,train,Corn leaf blight,train/Corn leaf blight/IMG_42231.jpg,0,exact
PlantDoc,test,Corn leaf blight,test/Corn leaf blight/2015070295153021.jpg,PlantDoc,train,Corn Gray leaf spot,train/Corn Gray leaf spot/2015070295153021.jpg,0,exact
PlantDoc,test,Corn leaf blight,test/Corn leaf blight/corn-gray-leaf-spot-f4.jpg,PlantDoc,train,Corn Gray leaf spot,train/Corn Gray leaf spot/corn-gray-leaf-spot-f4.jpg,0,exact
PlantDoc,test,Potato leaf early blight,test/Potato leaf early blight/backus-056-potato-blight.jpg,PlantDoc,train,Potato leaf late blight,train/Potato leaf late blight/backus-056-potato-blight.jpg,0,exact
PlantDoc,test,Potato leaf late blight,test/Potato leaf late blight/1421_0.jpeg?itok=FMtmgePj.jpg,PlantDoc,train,Potato leaf early blight,train/Potato leaf early blight/1421_0.jpeg?itok=FMtmgePj.jpg,0,exact
PlantDoc,test,Potato leaf late blight,test/Potato leaf late blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,PlantDoc,train,Potato leaf early blight,train/Potato leaf early blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,0,exact
PlantDoc,test,Potato leaf late blight,test/Potato leaf late blight/irish-blight-symptoms-on-potato-leaves-atmf8b.jpg,PlantDoc,train,Potato leaf early blight,train/Potato leaf early blight/irish-blight-symptoms-on-potato-leaves-atmf8b.jpg,0,exact
PlantDoc,train,Apple Scab Leaf,train/Apple Scab Leaf/Apple-Scab1.jpg,PlantDoc,train,Apple Scab Leaf,train/Apple Scab Leaf/applescab.jpg,0,exact
PlantDoc,train,Bell_pepper leaf spot,train/Bell_pepper leaf spot/green-pepper-plant-diseases-bacterial-spot-on-pepper-plant-green-pepper-plant-diseases-photos.jpg,PlantDoc,train,Bell_pepper leaf spot,train/Bell_pepper leaf spot/peppers_bacterial_spot_zoom.jpg,0,exact
PlantDoc,train,Bell_pepper leaf spot,train/Bell_pepper leaf spot/image_1500x1500%253E.jpeg?1467983528.jpg,PlantDoc,train,Bell_pepper leaf spot,train/Bell_pepper leaf spot/image_original.jpeg?1472603886.jpg,0,exact
PlantDoc,train,Bell_pepper leaf spot,train/Bell_pepper leaf spot/image_1500x1500%253E.jpeg?1472603885.jpg,PlantDoc,train,Bell_pepper leaf spot,train/Bell_pepper leaf spot/image_original.jpeg?1472603885.jpg,0,exact
PlantDoc,train,Cherry leaf,train/Cherry leaf/Cherry-Fruit-and-Leaves-tp1263.jpg,PlantDoc,train,Cherry leaf,train/Cherry leaf/i-have-a-cherry-tree-5252.jpg,0,exact
PlantDoc,train,Corn Gray leaf spot,train/Corn Gray leaf spot/gls99-anamosa.jpg,PlantDoc,train,Corn leaf blight,train/Corn leaf blight/gls99-anamosa-400x334.jpg,0,exact
