training_relpath,evaluation_relpath,training_class,evaluation_class,training_phash,evaluation_phash,hamming_distance,classification,review_status,proposed_disposition,notes
raw/color/Apple___healthy/f09b090f-bff1-4fc9-87ad-1b9e05373698___RS_HL 6035.JPG,train/Tomato leaf late blight/TomatoLateBlightTop.jpg,Apple___healthy,Tomato leaf late blight,fac2953cc932e50b,fac2963cc933e40b,4,near,pending,manual_review_required,"near-duplicate (0<d<=6); NOT auto-excluded, awaits human review"
raw/color/Apple___Black_rot/888c8b6e-55cb-4492-b489-22f3624f1c39___JR_FrgE.S 8765.JPG,train/Apple leaf/depositphotos_30057617-Green-leaf-of-apple-tree.jpg,Apple___Black_rot,Apple leaf,ee6ac4a587969496,ee68c4a58f961c9a,6,near,pending,manual_review_required,"near-duplicate (0<d<=6); NOT auto-excluded, awaits human review"
raw/color/Blueberry___healthy/bafd9520-a306-441b-8f0f-8fdd5ff0f3d3___RS_HL 2375.JPG,test/Apple leaf/apple-leaf-closeup-37636177.jpg,Blueberry___healthy,Apple leaf,bd65c094cb9a9c99,bd61c2968f9a8c99,6,near,pending,manual_review_required,"near-duplicate (0<d<=6); NOT auto-excluded, awaits human review"
raw/color/Cherry_(including_sour)___healthy/01958ee7-f585-4956-90aa-a40dc79102d4___JR_HL 9836.JPG,train/Apple leaf/depositphotos_30057617-Green-leaf-of-apple-tree.jpg,Cherry_(including_sour)___healthy,Apple leaf,ea6ac5a587949c9a,ee68c4a58f961c9a,6,near,pending,manual_review_required,"near-duplicate (0<d<=6); NOT auto-excluded, awaits human review"
raw/color/Cherry_(including_sour)___healthy/6ae3fb47-fad5-4167-b106-782bc5ef68d6___JR_HL 9513.JPG,train/Tomato leaf late blight/TomatoLateBlightTop.jpg,Cherry_(including_sour)___healthy,Tomato leaf late blight,eac29734c933e60d,fac2963cc933e40b,6,near,pending,manual_review_required,"near-duplicate (0<d<=6); NOT auto-excluded, awaits human review"
raw/color/Grape___Black_rot/69b68016-b0a9-437f-b8a2-3cec7b1ced89___FAM_B.Rot 0370.JPG,train/Apple rust leaf/car-apple9.jpg,Grape___Black_rot,Apple rust leaf,f8a18056c72dd778,faa18156872ed768,6,near,pending,manual_review_required,"near-duplicate (0<d<=6); NOT auto-excluded, awaits human review"
raw/color/Orange___Haunglongbing_(Citrus_greening)/81a2842a-0d85-4521-b425-b8ce671553c6___CREC_HLB 5626.JPG,train/Apple leaf/depositphotos_30057617-Green-leaf-of-apple-tree.jpg,Orange___Haunglongbing_(Citrus_greening),Apple leaf,ab6cc4a58f961c99,ee68c4a58f961c9a,6,near,pending,manual_review_required,"near-duplicate (0<d<=6); NOT auto-excluded, awaits human review"
raw/color/Orange___Haunglongbing_(Citrus_greening)/c064d3a5-c0b6-4cc9-8c4b-bbf19f23cba2___CREC_HLB 5331.JPG,train/Apple leaf/depositphotos_30057617-Green-leaf-of-apple-tree.jpg,Orange___Haunglongbing_(Citrus_greening),Apple leaf,ee6b84a58fd2189a,ee68c4a58f961c9a,6,near,pending,manual_review_required,"near-duplicate (0<d<=6); NOT auto-excluded, awaits human review"
raw/color/Soybean___healthy/09ae1b30-a83d-40d0-aca4-db6bfcc26bc2___RS_HL 4094.JPG,train/Apple leaf/depositphotos_30057617-Green-leaf-of-apple-tree.jpg,Soybean___healthy,Apple leaf,ae69c5850f963c9a,ee68c4a58f961c9a,6,near,pending,manual_review_required,"near-duplicate (0<d<=6); NOT auto-excluded, awaits human review"
raw/color/Soybean___healthy/2f0e30c3-e2fc-4108-bb9a-c0ac42b4bb9a___RS_HL 4551.JPG,train/Apple leaf/green-leaf-apple-tree-isolated-white-background-33032695.jpg,Soybean___healthy,Apple leaf,afbf96c0c8cc65c0,ad3e96c1d8cc65d0,6,near,pending,manual_review_required,"near-duplicate (0<d<=6); NOT auto-excluded, awaits human review"
raw/color/Soybean___healthy/7adac6f5-49f5-4cda-8425-e15d7d821b88___RS_HL 4395.JPG,train/Apple leaf/green-leaf-apple-tree-isolated-white-background-33032695.jpg,Soybean___healthy,Apple leaf,bf3f92c0d8cc65c0,ad3e96c1d8cc65d0,6,near,pending,manual_review_required,"near-duplicate (0<d<=6); NOT auto-excluded, awaits human review"
raw/color/Soybean___healthy/8e3f6573-c338-48e5-bfba-257daff8e52e___RS_HL 5048.JPG,train/Apple leaf/depositphotos_45748597-stock-photo-ripe-apple-with-leaf.jpg,Soybean___healthy,Apple leaf,bd9e9648ca61c8e6,bd9e9668cae0c827,6,near,pending,manual_review_required,"near-duplicate (0<d<=6); NOT auto-excluded, awaits human review"
raw/color/Soybean___healthy/a7711242-c374-4156-a8ba-d1ad73d38f8e___RS_HL 3713.JPG,train/Apple leaf/green-leaf-apple-tree-isolated-white-background-33032695.jpg,Soybean___healthy,Apple leaf,af3f96c0d8cd61c0,ad3e96c1d8cc65d0,6,near,pending,manual_review_required,"near-duplicate (0<d<=6); NOT auto-excluded, awaits human review"
