group_id,display_group_id,canonical_content_id,byte_sha256,decoded_rgb_sha256,member_count,crosses_split,crosses_class,train_count,test_count,class_count,class_labels,current_status,group_handling_decision,canonical_label_decision,split_handling_decision,decision_reason,reviewer,reviewed_at
pdup-f7ce4475e7faab5c,G01,pdup-f7ce4475e7faab5c,07b9b0a3395d6643e0033f5327c188305479c20a67b9e0081efec85139d63306,838b864a6ecd8bcef3f37360774f1f3dfb4bf105e33b7dcee7ba9ec746704fc0,2,true,false,1,1,1,Blueberry leaf,decision_recorded,keep_one_record,Blueberry leaf,move_to_train,Byte-identical train/test records have the same label. Retain one canonical sample in train and remove its test twin so evaluation cannot credit memorisation.,human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-b521e39920981129,G02,pdup-b521e39920981129,3c52144e19e95cc3d4170407eaf729d0981b934615eaa183f7f5aa29d8ef265a,3833455ba9dde5f8b75769c4ff68ec49b38412739185318e70fc41202dca3e0a,2,true,false,1,1,1,Tomato leaf yellow virus,decision_recorded,keep_one_record,Tomato leaf yellow virus,move_to_train,Byte-identical train/test records have the same label. Retain one canonical sample in train and remove its test twin so evaluation cannot credit memorisation.,human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-0e389c7e23bd56b9,G03,pdup-0e389c7e23bd56b9,64c0f7b5701e815769bad881c0834ffb3b58018233fc3af42c3a1b7968f86973,79e02b28f24cb1dee9cb9deaf4e934bceada9eaf546b081e8b90fc46ddd7156c,2,true,true,1,1,2,Potato leaf early blight | Potato leaf late blight,decision_recorded,exclude_all_records,not_applicable,not_applicable,"Identical pixels carry mutually exclusive potato early- and late-blight labels. The image and available provenance do not support a defensible diagnosis, so exclude both rather than inject label noise.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-454040445d1210af,G04,pdup-454040445d1210af,6e777d1b6829140e66573f918c0f1681ca4cd2979859c37435c84977153ec223,bb6cddbe3c7246574630162c846df2b91b820a8ca9a1179e20d375e0d92dd8bd,2,true,true,1,1,2,Corn Gray leaf spot | Corn leaf blight,decision_recorded,keep_one_record,Corn Gray leaf spot,move_to_train,"The lesions are narrow and largely vein-bounded, consistent with gray leaf spot; the original PlantDoc object-detection annotation also assigns Corn Gray leaf spot. Retain one canonical record in train.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-a4b93bd747ef3454,G05,pdup-a4b93bd747ef3454,9120578a76fd8539da220def6e0609ebb2435decc7a9c34b949e46e86e794c8d,a385b6ed71a3a24cb23c7ca79038058b6f26733c17046c64be7b5af84cecef29,2,true,true,1,1,2,Corn Gray leaf spot | Corn leaf blight,decision_recorded,keep_one_record,Corn Gray leaf spot,move_to_train,"The filename explicitly names gray leaf spot, morphology is compatible, and the original PlantDoc object-detection annotation assigns Corn Gray leaf spot. Retain one canonical record in train.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-7ec26dad51adee34,G06,pdup-7ec26dad51adee34,93c989d8551209bf34d4002ee9fae48ddbf6ab66fc3c27466c0473bcc7c0a2b7,0c4bd829bc90e5bc0d69128ebf78553584f7ed296867e284faad28ad365020c2,2,true,false,1,1,1,Tomato Septoria leaf spot,decision_recorded,keep_one_record,Tomato Septoria leaf spot,move_to_train,Byte-identical train/test records have the same label. Retain one canonical sample in train and remove its test twin so evaluation cannot credit memorisation.,human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-00d12bcd997986d0,G07,pdup-00d12bcd997986d0,9dd93b4217495fbb725cfdded86d3dc5f98955c9616fff5323be1a00df17be8b,6698fb65e7508618830d0e4518364e198e72e109fa12135d10472af6e9854be1,2,true,true,1,1,2,Potato leaf early blight | Potato leaf late blight,decision_recorded,keep_one_record,Potato leaf late blight,move_to_train,"The source filename/title describes Irish blight symptoms on potato leaves, supporting potato late blight rather than early blight. Retain one canonical record in train.",human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-884a18bbd9375029,G08,pdup-884a18bbd9375029,a981ee59e5e1dcafd0d225f74369a05969200352c17743318c31987083ab6f4c,2b49ec06043cd087d410e5d32235b75895135385c6c4e6a02210d291f08d6e63,2,true,true,1,1,2,Potato leaf early blight | Potato leaf late blight,decision_recorded,keep_one_record,Tomato leaf late blight,move_to_train,The exact source identifier 5816740026 resolves to Tomato late blight foliar lesions. Both existing potato labels are wrong; relabel the canonical record as Tomato leaf late blight and keep it in train.,human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-1de023f9a042587b,G09,pdup-1de023f9a042587b,c53ad8d40c38debfbc0b79a87d0f3649c20b933a65f5b78a6931f59d06aad498,ce2ea9ee7939fd30c74c2c71719255696ec9ff80523d0c90313594d84dd2b1cf,2,true,true,1,1,2,Potato leaf early blight | Potato leaf late blight,decision_recorded,keep_one_record,Potato leaf early blight,move_to_train,Multiple lesions show the characteristic concentric target-ring pattern of potato early blight. Retain one canonical record in train.,human_reviewer_1,2026-08-03T14:28:00+05:00
pdup-e05ca426fe0bf730,G10,pdup-e05ca426fe0bf730,e23a29c94b58aac28e92f57f95eb6f53e99c874323cb2b90ebd327085721574e,2c6e36b745ce86fb2bb03b2ab1ecf7ba02df95238c285d006ccb8a24f97bb683,2,true,true,1,1,2,Tomato Septoria leaf spot | Tomato leaf bacterial spot,decision_recorded,keep_one_record,Tomato leaf bacterial spot,move_to_train,"The original PlantDoc test annotation labels both objects as Tomato leaf bacterial spot, and the visible symptoms are compatible. Retain one canonical record in train.",human_reviewer_1,2026-08-03T14:28:00+05:00
